FeatureExtraction,DimReduction,Normalization,NumberComponents,Classifier,KFold01_ROCScore,KFold02_ROCScore,KFold03_ROCScore,KFold04_ROCScore,KFold05_ROCScore,KFold06_ROCScore,KFold07_ROCScore,KFold08_ROCScore,KFold09_ROCScore,KFold10_ROCScore,ROCScore_Mean,ROCScore_SD
DenseNet169,Full,No,81536,MLP,0.9083,0.9565,0.9412,0.8571,0.8824,0.9132,0.8824,0.8576,0.9545,0.914,0.9067,0.0348
DenseNet169,Full,No,81536,Logistic,0.9667,0.8496,0.9412,0.8214,0.8529,0.9097,0.8824,0.941,0.9773,0.9474,0.909,0.0515
DenseNet169,Full,No,81536,RandomForest,0.9167,0.9366,0.9118,0.8429,0.8529,0.9688,0.8529,0.8819,0.8674,0.9211,0.8953,0.0397
DenseNet169,Full,No,81536,Adaboost,0.9,0.8732,0.8529,0.8429,0.8824,0.8819,0.8824,0.9167,0.9773,0.914,0.8924,0.0361
DenseNet169,Full,No,81536,Gaussian,0.7417,0.913,0.7647,0.7107,0.7647,0.8785,0.8235,0.8854,0.9129,0.8474,0.8243,0.0705
DenseNet201,Full,No,94080,PCC,0.675,0.7844,0.7647,0.7107,0.7353,0.816,0.7647,0.8438,0.6553,0.7544,0.7504,0.0558
DenseNet201,Full,No,94080,J48,0.775,0.7228,0.7647,0.6714,0.7647,0.8021,0.7647,0.8264,0.8295,0.8281,0.7749,0.0479
DenseNet201,Full,No,94080,RBF,0.7833,0.9348,0.8824,0.7714,0.9118,0.9375,0.8529,0.9132,0.9356,0.9404,0.8863,0.0605
DenseNet201,Full,No,94080,LinearSVM,0.825,0.913,0.9706,0.8571,0.9706,0.9097,0.8824,0.9132,0.9773,0.9737,0.9193,0.0509
DenseNet201,Full,No,94080,MLP,0.85,0.8913,0.9412,0.8321,0.8824,0.8507,0.8824,0.9688,0.9773,0.9737,0.905,0.0527
DenseNet201,Full,No,94080,Logistic,0.8,0.9565,0.9706,0.7964,0.9706,0.9097,0.8824,0.9132,0.9773,0.9737,0.915,0.066
DenseNet201,Full,No,94080,RandomForest,0.8,0.9348,0.9412,0.8679,0.8824,0.9132,0.9706,0.941,0.9545,0.9404,0.9146,0.0485
DenseNet201,Full,No,94080,Adaboost,0.8667,0.913,0.9118,0.8429,0.9118,0.9097,0.8824,0.8819,0.9583,0.9474,0.9026,0.0334
DenseNet201,Full,No,94080,Gaussian,0.7917,0.9348,0.7941,0.7107,0.7941,0.8819,0.8529,0.941,0.8712,0.9404,0.8513,0.0736
NASNetMobile,Full,No,51744,PCC,0.7833,0.6594,0.6176,0.6607,0.7059,0.6181,0.6176,0.625,0.6098,0.7877,0.6685,0.0648
