Metodo;Fold;ACC
ResNet101_UMAP_300_Logistic;1;0,8
ResNet101_UMAP_300_Logistic;2;0,8286
ResNet101_UMAP_300_Logistic;3;0,7647
ResNet101_UMAP_300_Logistic;4;0,7647
ResNet101_UMAP_300_Logistic;5;0,7941
ResNet101_UMAP_300_Logistic;6;0,8824
ResNet101_UMAP_300_Logistic;7;0,7353
ResNet101_UMAP_300_Logistic;8;0,7941
ResNet101_UMAP_300_Logistic;9;0,7941
ResNet101_UMAP_300_Logistic;10;0,8235
ResNet101_UMAP_300_RandomForest;1;0,7714
ResNet101_UMAP_300_RandomForest;2;0,8286
ResNet101_UMAP_300_RandomForest;3;0,7353
ResNet101_UMAP_300_RandomForest;4;0,7647
ResNet101_UMAP_300_RandomForest;5;0,8235
ResNet101_UMAP_300_RandomForest;6;0,8235
ResNet101_UMAP_300_RandomForest;7;0,8235
ResNet101_UMAP_300_RandomForest;8;0,7941
ResNet101_UMAP_300_RandomForest;9;0,7353
ResNet101_UMAP_300_RandomForest;10;0,8235
ResNet101_UMAP_300_Adaboost;1;0,8
ResNet101_UMAP_300_Adaboost;2;0,7714
ResNet101_UMAP_300_Adaboost;3;0,7353
ResNet101_UMAP_300_Adaboost;4;0,6765
ResNet101_UMAP_300_Adaboost;5;0,7941
ResNet101_UMAP_300_Adaboost;6;0,8235
ResNet101_UMAP_300_Adaboost;7;0,8235
ResNet101_UMAP_300_Adaboost;8;0,7647
ResNet101_UMAP_300_Adaboost;9;0,6471
ResNet101_UMAP_300_Adaboost;10;0,8235
ResNet101_UMAP_300_Gaussian;1;0,8
ResNet101_UMAP_300_Gaussian;2;0,8571
ResNet101_UMAP_300_Gaussian;3;0,7647
ResNet101_UMAP_300_Gaussian;4;0,7647
ResNet101_UMAP_300_Gaussian;5;0,7353
ResNet101_UMAP_300_Gaussian;6;0,8235
ResNet101_UMAP_300_Gaussian;7;0,7059
ResNet101_UMAP_300_Gaussian;8;0,7353
ResNet101_UMAP_300_Gaussian;9;0,7647
ResNet101_UMAP_300_Gaussian;10;0,8235
ResNet152_UMAP_300_J48;1;0,6286
ResNet152_UMAP_300_J48;2;0,6286
ResNet152_UMAP_300_J48;3;0,6765
ResNet152_UMAP_300_J48;4;0,7353
ResNet152_UMAP_300_J48;5;0,6471
ResNet152_UMAP_300_J48;6;0,7647
ResNet152_UMAP_300_J48;7;0,7647
ResNet152_UMAP_300_J48;8;0,7353
ResNet152_UMAP_300_J48;9;0,6471
ResNet152_UMAP_300_J48;10;0,7941
ResNet152_UMAP_300_RBF;1;0,4286
ResNet152_UMAP_300_RBF;2;0,3429
ResNet152_UMAP_300_RBF;3;0,5
ResNet152_UMAP_300_RBF;4;0,5882
ResNet152_UMAP_300_RBF;5;0,5
ResNet152_UMAP_300_RBF;6;0,5294
ResNet152_UMAP_300_RBF;7;0,5
ResNet152_UMAP_300_RBF;8;0,5294
ResNet152_UMAP_300_RBF;9;0,3529
ResNet152_UMAP_300_RBF;10;0,5588
ResNet152_UMAP_300_LinearSVM;1;0,6
ResNet152_UMAP_300_LinearSVM;2;0,6286
ResNet152_UMAP_300_LinearSVM;3;0,6471
ResNet152_UMAP_300_LinearSVM;4;0,7647
ResNet152_UMAP_300_LinearSVM;5;0,6765
ResNet152_UMAP_300_LinearSVM;6;0,7647
ResNet152_UMAP_300_LinearSVM;7;0,6471
ResNet152_UMAP_300_LinearSVM;8;0,7647
ResNet152_UMAP_300_LinearSVM;9;0,7941
ResNet152_UMAP_300_LinearSVM;10;0,7647
ResNet152_UMAP_300_MLP;1;0,5429
ResNet152_UMAP_300_MLP;2;0,6571
ResNet152_UMAP_300_MLP;3;0,5
ResNet152_UMAP_300_MLP;4;0,4118
ResNet152_UMAP_300_MLP;5;0,3824
ResNet152_UMAP_300_MLP;6;0,4706
ResNet152_UMAP_300_MLP;7;0,5
ResNet152_UMAP_300_MLP;8;0,3824
ResNet152_UMAP_300_MLP;9;0,5
ResNet152_UMAP_300_MLP;10;0,5
ResNet152_UMAP_300_Logistic;1;0,7143
ResNet152_UMAP_300_Logistic;2;0,7429
ResNet152_UMAP_300_Logistic;3;0,7647
ResNet152_UMAP_300_Logistic;4;0,7941
ResNet152_UMAP_300_Logistic;5;0,7941
ResNet152_UMAP_300_Logistic;6;0,8529
ResNet152_UMAP_300_Logistic;7;0,7941
ResNet152_UMAP_300_Logistic;8;0,7941
ResNet152_UMAP_300_Logistic;9;0,8235
ResNet152_UMAP_300_Logistic;10;0,7941
ResNet152_UMAP_300_RandomForest;1;0,7714
ResNet152_UMAP_300_RandomForest;2;0,7714
ResNet152_UMAP_300_RandomForest;3;0,8529
ResNet152_UMAP_300_RandomForest;4;0,8235
ResNet152_UMAP_300_RandomForest;5;0,7941
ResNet152_UMAP_300_RandomForest;6;0,8235
ResNet152_UMAP_300_RandomForest;7;0,7941
ResNet152_UMAP_300_RandomForest;8;0,6765
ResNet152_UMAP_300_RandomForest;9;0,7941
ResNet152_UMAP_300_RandomForest;10;0,7941
ResNet152_UMAP_300_Adaboost;1;0,7143
ResNet152_UMAP_300_Adaboost;2;0,7714
ResNet152_UMAP_300_Adaboost;3;0,8824
ResNet152_UMAP_300_Adaboost;4;0,7941
ResNet152_UMAP_300_Adaboost;5;0,7647
ResNet152_UMAP_300_Adaboost;6;0,7353
ResNet152_UMAP_300_Adaboost;7;0,6765
ResNet152_UMAP_300_Adaboost;8;0,7059
ResNet152_UMAP_300_Adaboost;9;0,7941
ResNet152_UMAP_300_Adaboost;10;0,6765
ResNet152_UMAP_300_Gaussian;1;0,7143
ResNet152_UMAP_300_Gaussian;2;0,7429
ResNet152_UMAP_300_Gaussian;3;0,6471
ResNet152_UMAP_300_Gaussian;4;0,7647
ResNet152_UMAP_300_Gaussian;5;0,7647
ResNet152_UMAP_300_Gaussian;6;0,8529
ResNet152_UMAP_300_Gaussian;7;0,6765
ResNet152_UMAP_300_Gaussian;8;0,6765
ResNet152_UMAP_300_Gaussian;9;0,7941
ResNet152_UMAP_300_Gaussian;10;0,7353
ResNet50V2_UMAP_300_J48;1;0,6857
ResNet50V2_UMAP_300_J48;2;0,7714
ResNet50V2_UMAP_300_J48;3;0,7941
ResNet50V2_UMAP_300_J48;4;0,7647
ResNet50V2_UMAP_300_J48;5;0,7353
ResNet50V2_UMAP_300_J48;6;0,6765
ResNet50V2_UMAP_300_J48;7;0,7941
ResNet50V2_UMAP_300_J48;8;0,7647
ResNet50V2_UMAP_300_J48;9;0,5882
ResNet50V2_UMAP_300_J48;10;0,7941
ResNet50V2_UMAP_300_RBF;1;0,4286
ResNet50V2_UMAP_300_RBF;2;0,3429
ResNet50V2_UMAP_300_RBF;3;0,5
ResNet50V2_UMAP_300_RBF;4;0,5882
ResNet50V2_UMAP_300_RBF;5;0,5
ResNet50V2_UMAP_300_RBF;6;0,5294
ResNet50V2_UMAP_300_RBF;7;0,5
ResNet50V2_UMAP_300_RBF;8;0,5294
ResNet50V2_UMAP_300_RBF;9;0,3529
ResNet50V2_UMAP_300_RBF;10;0,5588
ResNet50V2_UMAP_300_LinearSVM;1;0,6857
ResNet50V2_UMAP_300_LinearSVM;2;0,6286
ResNet50V2_UMAP_300_LinearSVM;3;0,5882
ResNet50V2_UMAP_300_LinearSVM;4;0,7941
ResNet50V2_UMAP_300_LinearSVM;5;0,7059
ResNet50V2_UMAP_300_LinearSVM;6;0,7059
ResNet50V2_UMAP_300_LinearSVM;7;0,7059
ResNet50V2_UMAP_300_LinearSVM;8;0,6765
ResNet50V2_UMAP_300_LinearSVM;9;0,5
ResNet50V2_UMAP_300_LinearSVM;10;0,7353
ResNet50V2_UMAP_300_MLP;1;0,5143
ResNet50V2_UMAP_300_MLP;2;0,6
ResNet50V2_UMAP_300_MLP;3;0,5
ResNet50V2_UMAP_300_MLP;4;0,5
ResNet50V2_UMAP_300_MLP;5;0,5
ResNet50V2_UMAP_300_MLP;6;0,5294
ResNet50V2_UMAP_300_MLP;7;0,5
ResNet50V2_UMAP_300_MLP;8;0,5294
ResNet50V2_UMAP_300_MLP;9;0,4412
ResNet50V2_UMAP_300_MLP;10;0,5
ResNet50V2_UMAP_300_Logistic;1;0,7714
ResNet50V2_UMAP_300_Logistic;2;0,7714
ResNet50V2_UMAP_300_Logistic;3;0,7941
ResNet50V2_UMAP_300_Logistic;4;0,7941
ResNet50V2_UMAP_300_Logistic;5;0,7059
ResNet50V2_UMAP_300_Logistic;6;0,6765
ResNet50V2_UMAP_300_Logistic;7;0,7059
ResNet50V2_UMAP_300_Logistic;8;0,7941
ResNet50V2_UMAP_300_Logistic;9;0,7059
ResNet50V2_UMAP_300_Logistic;10;0,7647
ResNet50V2_UMAP_300_RandomForest;1;0,8286
ResNet50V2_UMAP_300_RandomForest;2;0,8857
ResNet50V2_UMAP_300_RandomForest;3;0,8235
ResNet50V2_UMAP_300_RandomForest;4;0,7941
ResNet50V2_UMAP_300_RandomForest;5;0,7353
ResNet50V2_UMAP_300_RandomForest;6;0,8235
ResNet50V2_UMAP_300_RandomForest;7;0,7353
ResNet50V2_UMAP_300_RandomForest;8;0,7941
ResNet50V2_UMAP_300_RandomForest;9;0,7941
ResNet50V2_UMAP_300_RandomForest;10;0,8529
ResNet50V2_UMAP_300_Adaboost;1;0,7714
ResNet50V2_UMAP_300_Adaboost;2;0,7429
ResNet50V2_UMAP_300_Adaboost;3;0,7059
ResNet50V2_UMAP_300_Adaboost;4;0,8235
ResNet50V2_UMAP_300_Adaboost;5;0,6765
ResNet50V2_UMAP_300_Adaboost;6;0,7353
ResNet50V2_UMAP_300_Adaboost;7;0,8529
ResNet50V2_UMAP_300_Adaboost;8;0,7059
ResNet50V2_UMAP_300_Adaboost;9;0,7059
ResNet50V2_UMAP_300_Adaboost;10;0,7647
ResNet50V2_UMAP_300_Gaussian;1;0,6571
ResNet50V2_UMAP_300_Gaussian;2;0,7429
ResNet50V2_UMAP_300_Gaussian;3;0,7059
ResNet50V2_UMAP_300_Gaussian;4;0,8824
ResNet50V2_UMAP_300_Gaussian;5;0,6765
ResNet50V2_UMAP_300_Gaussian;6;0,7647
ResNet50V2_UMAP_300_Gaussian;7;0,7059
ResNet50V2_UMAP_300_Gaussian;8;0,5588
ResNet50V2_UMAP_300_Gaussian;9;0,6176
ResNet50V2_UMAP_300_Gaussian;10;0,7647
ResNet101V2_UMAP_300_J48;1;0,8
ResNet101V2_UMAP_300_J48;2;0,8857
ResNet101V2_UMAP_300_J48;3;0,7647
ResNet101V2_UMAP_300_J48;4;0,7353
