Metodo;FeatureExtraction;DimReduction;NumberComponents;Classifier;ACC01;ACC02;ACC03;ACC04;ACC05;ACC06;ACC07;ACC08;ACC09;ACC10
MobileNet+ResNet101_n_feat_UMAP_100_Logistic;MobileNet+ResNet101_n_feat;UMAP;100;Logistic;0,8286;0,8;0,8529;0,7647;0,7647;0,8529;0,8235;0,8529;0,7941;0,8529
MobileNet+ResNet101_n_feat_UMAP_100_RandomForest;MobileNet+ResNet101_n_feat;UMAP;100;RandomForest;0,8857;0,8857;0,8529;0,8529;0,8529;0,9118;0,7941;0,8529;0,8824;0,9118
MobileNet+ResNet101_n_feat_UMAP_100_Adaboost;MobileNet+ResNet101_n_feat;UMAP;100;Adaboost;0,8571;0,8286;0,8529;0,7647;0,8824;0,9118;0,8529;0,8529;0,8235;0,8824
MobileNet+ResNet101_n_feat_UMAP_100_Gaussian;MobileNet+ResNet101_n_feat;UMAP;100;Gaussian;0,8286;0,9429;0,7941;0,8235;0,7647;0,8529;0,6765;0,8235;0,7941;0,7941
ResNet101+DenseNet169_n_feat_PCA_100_J48;ResNet101+DenseNet169_n_feat;PCA;100;J48;0,8286;0,8286;0,7059;0,6765;0,7647;0,8529;0,6765;0,8529;0,7941;0,6765
ResNet101+DenseNet169_n_feat_PCA_100_RBF;ResNet101+DenseNet169_n_feat;PCA;100;RBF;0,8571;0,9143;0,9118;0,8529;0,9412;0,9412;0,8824;0,9412;0,9412;0,9118
ResNet101+DenseNet169_n_feat_PCA_100_LinearSVM;ResNet101+DenseNet169_n_feat;PCA;100;LinearSVM;0,8;0,9143;0,9412;0,8824;0,8824;0,8824;0,9118;0,8824;0,9118;0,8529
ResNet101+DenseNet169_n_feat_PCA_100_MLP;ResNet101+DenseNet169_n_feat;PCA;100;MLP;0,7429;0,8;0,9412;0,8824;0,8529;0,8235;0,8235;1;0,8824;0,7941
ResNet101+DenseNet169_n_feat_PCA_100_Logistic;ResNet101+DenseNet169_n_feat;PCA;100;Logistic;0,8;0,9143;0,9412;0,9118;0,8824;0,8824;0,9412;0,8824;0,9118;0,8824
ResNet101+DenseNet169_n_feat_PCA_100_RandomForest;ResNet101+DenseNet169_n_feat;PCA;100;RandomForest;0,8571;0,9143;0,9118;0,8529;0,9412;0,9118;0,8824;0,9118;0,9118;0,9118
ResNet101+DenseNet169_n_feat_PCA_100_Adaboost;ResNet101+DenseNet169_n_feat;PCA;100;Adaboost;0,8571;0,8857;0,8529;0,7941;0,8529;0,9706;0,9118;0,9118;0,8824;0,9118
ResNet101+DenseNet169_n_feat_PCA_100_Gaussian;ResNet101+DenseNet169_n_feat;PCA;100;Gaussian;0,7429;0,8;0,6765;0,6471;0,6176;0,8824;0,7353;0,7059;0,7647;0,7353
ResNet101+DenseNet169_n_feat_UMAP_100_J48;ResNet101+DenseNet169_n_feat;UMAP;100;J48;0,9143;0,8;0,8235;0,7647;0,7059;0,7647;0,8235;0,7647;0,6765;0,7647
ResNet101+DenseNet169_n_feat_UMAP_100_RBF;ResNet101+DenseNet169_n_feat;UMAP;100;RBF;0,7429;0,5429;0,7941;0,8235;0,7059;0,8235;0,7059;0,7941;0,8235;0,7647
ResNet101+DenseNet169_n_feat_UMAP_100_LinearSVM;ResNet101+DenseNet169_n_feat;UMAP;100;LinearSVM;0,7714;0,8286;0,7941;0,7941;0,7647;0,8529;0,8235;0,8529;0,8235;0,7941
ResNet101+DenseNet169_n_feat_UMAP_100_MLP;ResNet101+DenseNet169_n_feat;UMAP;100;MLP;0,8;0,8286;0,7941;0,8529;0,7647;0,8529;0,7647;0,8235;0,8235;0,7941
ResNet101+DenseNet169_n_feat_UMAP_100_Logistic;ResNet101+DenseNet169_n_feat;UMAP;100;Logistic;0,8286;0,8857;0,8529;0,7941;0,8529;0,8529;0,7647;0,8824;0,7353;0,8235
ResNet101+DenseNet169_n_feat_UMAP_100_RandomForest;ResNet101+DenseNet169_n_feat;UMAP;100;RandomForest;0,8571;0,8857;0,9118;0,8529;0,8529;0,8235;0,7941;0,8529;0,8235;0,7941
ResNet101+DenseNet169_n_feat_UMAP_100_Adaboost;ResNet101+DenseNet169_n_feat;UMAP;100;Adaboost;0,8;0,9429;0,7941;0,7941;0,8529;0,8235;0,7941;0,8235;0,7353;0,7941
ResNet101+DenseNet169_n_feat_UMAP_100_Gaussian;ResNet101+DenseNet169_n_feat;UMAP;100;Gaussian;0,8;0,8857;0,7647;0,8529;0,7353;0,7647;0,7059;0,7941;0,8235;0,8529
ResNet101+DenseNet121_n_feat_PCA_100_J48;ResNet101+DenseNet121_n_feat;PCA;100;J48;0,8286;0,8;0,8235;0,8235;0,7941;0,8529;0,7941;0,7353;0,7647;0,7647
ResNet101+DenseNet121_n_feat_PCA_100_RBF;ResNet101+DenseNet121_n_feat;PCA;100;RBF;0,8286;0,8857;0,9118;0,8529;0,9412;0,9412;0,8824;0,9706;0,9412;0,9412
ResNet101+DenseNet121_n_feat_PCA_100_LinearSVM;ResNet101+DenseNet121_n_feat;PCA;100;LinearSVM;0,8;0,7429;0,9412;0,8235;0,9118;0,8824;0,8235;0,8235;0,9118;0,8529
ResNet101+DenseNet121_n_feat_PCA_100_MLP;ResNet101+DenseNet121_n_feat;PCA;100;MLP;0,7143;0,8286;0,8824;0,8529;0,9118;0,8529;0,8529;0,9412;0,9118;0,9118
ResNet101+DenseNet121_n_feat_PCA_100_Logistic;ResNet101+DenseNet121_n_feat;PCA;100;Logistic;0,8;0,8;0,9412;0,8235;0,9412;0,8824;0,8235;0,8529;0,9118;0,8824
ResNet101+DenseNet121_n_feat_PCA_100_RandomForest;ResNet101+DenseNet121_n_feat;PCA;100;RandomForest;0,8286;0,8857;0,9118;0,8529;0,8824;0,9706;0,8235;0,9118;0,9412;0,9706
ResNet101+DenseNet121_n_feat_PCA_100_Adaboost;ResNet101+DenseNet121_n_feat;PCA;100;Adaboost;0,8857;0,8286;0,8235;0,8529;0,8529;0,9412;0,8529;0,8529;0,9412;0,9412
ResNet101+DenseNet121_n_feat_PCA_100_Gaussian;ResNet101+DenseNet121_n_feat;PCA;100;Gaussian;0,8;0,7429;0,7059;0,6765;0,6765;0,8235;0,7353;0,7059;0,7941;0,7059
ResNet101+DenseNet121_n_feat_UMAP_100_J48;ResNet101+DenseNet121_n_feat;UMAP;100;J48;0,8;0,7714;0,7059;0,7353;0,8529;0,7353;0,8529;0,6765;0,7353;0,8529
ResNet101+DenseNet121_n_feat_UMAP_100_RBF;ResNet101+DenseNet121_n_feat;UMAP;100;RBF;0,7143;0,6857;0,6471;0,7353;0,7647;0,7647;0,6765;0,7941;0,7647;0,7941
ResNet101+DenseNet121_n_feat_UMAP_100_LinearSVM;ResNet101+DenseNet121_n_feat;UMAP;100;LinearSVM;0,7429;0,7714;0,7941;0,7941;0,8529;0,8824;0,7647;0,8235;0,7647;0,8529
ResNet101+DenseNet121_n_feat_UMAP_100_MLP;ResNet101+DenseNet121_n_feat;UMAP;100;MLP;0,7143;0,7714;0,7647;0,7941;0,8235;0,7941;0,7353;0,8235;0,8235;0,8824
ResNet101+DenseNet121_n_feat_UMAP_100_Logistic;ResNet101+DenseNet121_n_feat;UMAP;100;Logistic;0,7714;0,7714;0,7941;0,8529;0,8824;0,8824;0,7941;0,8529;0,7941;0,8235
ResNet101+DenseNet121_n_feat_UMAP_100_RandomForest;ResNet101+DenseNet121_n_feat;UMAP;100;RandomForest;0,8;0,8286;0,8529;0,7941;0,8529;0,8235;0,8824;0,8529;0,7353;0,8529
ResNet101+DenseNet121_n_feat_UMAP_100_Adaboost;ResNet101+DenseNet121_n_feat;UMAP;100;Adaboost;0,7429;0,7429;0,7941;0,8235;0,8235;0,7647;0,8529;0,7941;0,7647;0,8235
ResNet101+DenseNet121_n_feat_UMAP_100_Gaussian;ResNet101+DenseNet121_n_feat;UMAP;100;Gaussian;0,7429;0,8;0,7353;0,8235;0,8235;0,8235;0,6471;0,7353;0,7647;0,8824
ResNet101+MobileNetV2_n_feat_PCA_100_J48;ResNet101+MobileNetV2_n_feat;PCA;100;J48;0,8;0,7143;0,8824;0,7941;0,8235;0,7941;0,8235;0,7647;0,7941;0,7059
ResNet101+MobileNetV2_n_feat_PCA_100_RBF;ResNet101+MobileNetV2_n_feat;PCA;100;RBF;0,8571;0,9143;0,9118;0,8529;0,9706;0,9412;0,8824;0,9706;0,9412;0,9412
ResNet101+MobileNetV2_n_feat_PCA_100_LinearSVM;ResNet101+MobileNetV2_n_feat;PCA;100;LinearSVM;0,7714;0,8571;0,9706;0,7941;0,8824;0,8824;0,9118;0,8529;0,8824;0,8235
ResNet101+MobileNetV2_n_feat_PCA_100_MLP;ResNet101+MobileNetV2_n_feat;PCA;100;MLP;0,8286;0,8;0,8529;0,7941;0,9118;0,8235;0,7941;0,8235;0,9118;0,8235
ResNet101+MobileNetV2_n_feat_PCA_100_Logistic;ResNet101+MobileNetV2_n_feat;PCA;100;Logistic;0,8286;0,8857;0,9706;0,7941;0,8529;0,9118;0,9118;0,8824;0,8529;0,8235
ResNet101+MobileNetV2_n_feat_PCA_100_RandomForest;ResNet101+MobileNetV2_n_feat;PCA;100;RandomForest;0,9143;0,9143;0,8824;0,8529;0,8824;0,9706;0,9118;0,9412;0,9412;0,8824
ResNet101+MobileNetV2_n_feat_PCA_100_Adaboost;ResNet101+MobileNetV2_n_feat;PCA;100;Adaboost;0,6857;0,9429;0,8824;0,8529;0,8824;0,8824;0,8824;1;0,9118;0,9118
ResNet101+MobileNetV2_n_feat_PCA_100_Gaussian;ResNet101+MobileNetV2_n_feat;PCA;100;Gaussian;0,8;0,7714;0,7353;0,7353;0,7059;0,8824;0,7353;0,8235;0,7941;0,7647
ResNet101+MobileNetV2_n_feat_UMAP_100_J48;ResNet101+MobileNetV2_n_feat;UMAP;100;J48;0,7714;0,8857;0,8235;0,8824;0,7941;0,8824;0,8235;0,8235;0,7647;0,8235
ResNet101+MobileNetV2_n_feat_UMAP_100_RBF;ResNet101+MobileNetV2_n_feat;UMAP;100;RBF;0,6;0,6286;0,7353;0,7941;0,6765;0,7647;0,7941;0,7647;0,8235;0,7647
ResNet101+MobileNetV2_n_feat_UMAP_100_LinearSVM;ResNet101+MobileNetV2_n_feat;UMAP;100;LinearSVM;0,7143;0,7714;0,7647;0,7941;0,7353;0,8529;0,7353;0,7647;0,8824;0,9118
ResNet101+MobileNetV2_n_feat_UMAP_100_MLP;ResNet101+MobileNetV2_n_feat;UMAP;100;MLP;0,7143;0,8571;0,5;0,7941;0,7941;0,7647;0,7647;0,7353;0,7647;0,8529
ResNet101+MobileNetV2_n_feat_UMAP_100_Logistic;ResNet101+MobileNetV2_n_feat;UMAP;100;Logistic;0,7714;0,8;0,8235;0,8235;0,7941;0,8235;0,7647;0,9118;0,7941;0,8824
ResNet101+MobileNetV2_n_feat_UMAP_100_RandomForest;ResNet101+MobileNetV2_n_feat;UMAP;100;RandomForest;0,8286;0,8286;0,8529;0,8235;0,8235;0,8235;0,9118;0,8529;0,8529;0,8529
ResNet101+MobileNetV2_n_feat_UMAP_100_Adaboost;ResNet101+MobileNetV2_n_feat;UMAP;100;Adaboost;0,8;0,8857;0,8529;0,8235;0,8529;0,8235;0,8235;0,7941;0,8529;0,8529
ResNet101+MobileNetV2_n_feat_UMAP_100_Gaussian;ResNet101+MobileNetV2_n_feat;UMAP;100;Gaussian;0,8;0,8857;0,7353;0,8529;0,7647;0,8529;0,7353;0,7647;0,8824;0,8824
EfficientNetB0+MobileNet_n_feat_PCA_100_J48;EfficientNetB0+MobileNet_n_feat;PCA;100;J48;0,8;0,8571;0,8529;0,8235;0,8824;0,8824;0,7647;0,8529;0,8529;0,7941
EfficientNetB0+MobileNet_n_feat_PCA_100_RBF;EfficientNetB0+MobileNet_n_feat;PCA;100;RBF;0,8571;0,9429;0,9412;0,9118;0,9118;0,9706;0,8824;0,9706;0,9118;1
EfficientNetB0+MobileNet_n_feat_PCA_100_LinearSVM;EfficientNetB0+MobileNet_n_feat;PCA;100;LinearSVM;0,7714;0,9143;0,9118;0,9118;0,8824;0,7353;0,8235;0,9118;0,8529;0,9412
EfficientNetB0+MobileNet_n_feat_PCA_100_MLP;EfficientNetB0+MobileNet_n_feat;PCA;100;MLP;0,8;0,9714;0,9412;0,8235;0,8235;0,8824;0,8529;0,9118;0,8235;0,9706
EfficientNetB0+MobileNet_n_feat_PCA_100_Logistic;EfficientNetB0+MobileNet_n_feat;PCA;100;Logistic;0,8;0,9143;0,9118;0,9118;0,9118;0,7353;0,8235;0,9118;0,8529;0,9706
EfficientNetB0+MobileNet_n_feat_PCA_100_RandomForest;EfficientNetB0+MobileNet_n_feat;PCA;100;RandomForest;0,8857;0,8857;0,9118;0,8529;0,8529;0,9118;0,7941;0,9412;0,9118;0,9118
EfficientNetB0+MobileNet_n_feat_PCA_100_Adaboost;EfficientNetB0+MobileNet_n_feat;PCA;100;Adaboost;0,8571;0,8286;0,9118;0,9118;0,9118;0,7941;0,8529;0,9412;0,9118;0,9412
EfficientNetB0+MobileNet_n_feat_PCA_100_Gaussian;EfficientNetB0+MobileNet_n_feat;PCA;100;Gaussian;0,7143;0,6857;0,6765;0,7353;0,6471;0,7941;0,7059;0,7941;0,8529;0,7353
EfficientNetB0+MobileNet_n_feat_UMAP_100_J48;EfficientNetB0+MobileNet_n_feat;UMAP;100;J48;0,7714;0,7714;0,8235;0,7059;0,8529;0,7353;0,7353;0,7353;0,7059;0,6765
EfficientNetB0+MobileNet_n_feat_UMAP_100_RBF;EfficientNetB0+MobileNet_n_feat;UMAP;100;RBF;0,5143;0,4857;0,6765;0,7353;0,7941;0,5882;0,6176;0,7353;0,7059;0,7059
EfficientNetB0+MobileNet_n_feat_UMAP_100_LinearSVM;EfficientNetB0+MobileNet_n_feat;UMAP;100;LinearSVM;0,6571;0,7143;0,7353;0,7353;0,8235;0,7647;0,6765;0,9412;0,7353;0,8235
EfficientNetB0+MobileNet_n_feat_UMAP_100_MLP;EfficientNetB0+MobileNet_n_feat;UMAP;100;MLP;0,6571;0,5714;0,7353;0,7353;0,7647;0,5588;0,6765;0,8824;0,7353;0,7941
EfficientNetB0+MobileNet_n_feat_UMAP_100_Logistic;EfficientNetB0+MobileNet_n_feat;UMAP;100;Logistic;0,7429;0,7714;0,8235;0,7353;0,8529;0,8824;0,7941;0,9118;0,7647;0,8824
EfficientNetB0+MobileNet_n_feat_UMAP_100_RandomForest;EfficientNetB0+MobileNet_n_feat;UMAP;100;RandomForest;0,8857;0,8857;0,8824;0,8235;0,8824;0,9118;0,8235;0,9412;0,7647;0,9412
EfficientNetB0+MobileNet_n_feat_UMAP_100_Adaboost;EfficientNetB0+MobileNet_n_feat;UMAP;100;Adaboost;0,8857;0,9143;0,8529;0,7059;0,8529;0,8824;0,8529;0,8824;0,7353;0,9412
EfficientNetB0+MobileNet_n_feat_UMAP_100_Gaussian;EfficientNetB0+MobileNet_n_feat;UMAP;100;Gaussian;0,8857;0,8;0,8529;0,7647;0,8235;0,8824;0,7941;0,8529;0,8529;0,8824
MobileNet+ResNet50_n_feat_PCA_100_J48;MobileNet+ResNet50_n_feat;PCA;100;J48;0,6571;0,8286;0,7941;0,8235;0,8235;0,7941;0,7647;0,8235;0,6176;0,7941
MobileNet+ResNet50_n_feat_PCA_100_RBF;MobileNet+ResNet50_n_feat;PCA;100;RBF;0,9143;0,9714;0,9118;0,8529;0,9412;0,9706;0,9118;0,9706;0,8824;1
MobileNet+ResNet50_n_feat_PCA_100_LinearSVM;MobileNet+ResNet50_n_feat;PCA;100;LinearSVM;0,7714;0,8571;0,9118;0,9118;0,9412;0,8824;0,8235;0,9412;0,9412;0,9118
MobileNet+ResNet50_n_feat_PCA_100_MLP;MobileNet+ResNet50_n_feat;PCA;100;MLP;0,8857;0,8;0,9118;0,8529;0,9412;0,8235;0,8529;0,9412;0,9118;0,9118
MobileNet+ResNet50_n_feat_PCA_100_Logistic;MobileNet+ResNet50_n_feat;PCA;100;Logistic;0,8571;0,8857;0,9118;0,9118;0,9412;0,9118;0,8529;0,9412;0,9412;0,9118
MobileNet+ResNet50_n_feat_PCA_100_RandomForest;MobileNet+ResNet50_n_feat;PCA;100;RandomForest;0,7429;0,9714;0,9412;0,8235;0,8824;0,9706;0,8824;0,9412;0,9412;1
MobileNet+ResNet50_n_feat_PCA_100_Adaboost;MobileNet+ResNet50_n_feat;PCA;100;Adaboost;0,7429;0,8857;0,9412;0,9412;0,9706;0,8235;0,9706;0,9706;0,8529;0,8824
MobileNet+ResNet50_n_feat_PCA_100_Gaussian;MobileNet+ResNet50_n_feat;PCA;100;Gaussian;0,8571;0,8;0,7647;0,6765;0,6765;0,7941;0,7059;0,8529;0,8529;0,7647
MobileNet+ResNet50_n_feat_UMAP_100_J48;MobileNet+ResNet50_n_feat;UMAP;100;J48;0,7429;0,7429;0,8529;0,7647;0,7941;0,7941;0,7647;0,8235;0,7941;0,8824
MobileNet+ResNet50_n_feat_UMAP_100_RBF;MobileNet+ResNet50_n_feat;UMAP;100;RBF;0,6;0,6;0,7059;0,7647;0,7647;0,7353;0,7059;0,7941;0,7353;0,7353
MobileNet+ResNet50_n_feat_UMAP_100_LinearSVM;MobileNet+ResNet50_n_feat;UMAP;100;LinearSVM;0,7143;0,6857;0,7647;0,7941;0,7059;0,7941;0,7353;0,7647;0,7941;0,7941
MobileNet+ResNet50_n_feat_UMAP_100_MLP;MobileNet+ResNet50_n_feat;UMAP;100;MLP;0,6286;0,8571;0,6765;0,7059;0,7059;0,7059;0,6471;0,6765;0,7059;0,8235
MobileNet+ResNet50_n_feat_UMAP_100_Logistic;MobileNet+ResNet50_n_feat;UMAP;100;Logistic;0,7714;0,8571;0,7941;0,7647;0,7647;0,8235;0,7941;0,8235;0,8235;0,8824
MobileNet+ResNet50_n_feat_UMAP_100_RandomForest;MobileNet+ResNet50_n_feat;UMAP;100;RandomForest;0,8286;0,8857;0,8235;0,8529;0,8529;0,8529;0,8235;0,8235;0,8235;0,9118
MobileNet+ResNet50_n_feat_UMAP_100_Adaboost;MobileNet+ResNet50_n_feat;UMAP;100;Adaboost;0,8571;0,8857;0,8824;0,8824;0,7941;0,7941;0,8235;0,8824;0,8529;0,8235
MobileNet+ResNet50_n_feat_UMAP_100_Gaussian;MobileNet+ResNet50_n_feat;UMAP;100;Gaussian;0,7429;0,8286;0,7941;0,8235;0,7941;0,8235;0,7353;0,7941;0,7059;0,8235
Xception+ResNet50_n_feat_PCA_100_J48;Xception+ResNet50_n_feat;PCA;100;J48;0,7143;0,7143;0,7353;0,7941;0,8529;0,9118;0,7941;0,7647;0,6765;0,7941
Xception+ResNet50_n_feat_PCA_100_RBF;Xception+ResNet50_n_feat;PCA;100;RBF;0,9143;0,9143;0,9118;0,7941;0,9706;0,9412;0,9118;0,9412;0,8824;0,9412
Xception+ResNet50_n_feat_PCA_100_LinearSVM;Xception+ResNet50_n_feat;PCA;100;LinearSVM;0,8857;0,7714;0,9706;0,8235;0,9118;0,9118;0,8529;0,9412;0,9118;0,8824
Xception+ResNet50_n_feat_PCA_100_MLP;Xception+ResNet50_n_feat;PCA;100;MLP;0,8571;0,7143;0,8529;0,7941;0,8529;0,9118;0,7941;0,8824;0,9118;0,8235
Xception+ResNet50_n_feat_PCA_100_Logistic;Xception+ResNet50_n_feat;PCA;100;Logistic;0,8571;0,7714;0,9706;0,8529;0,9118;0,9118;0,8529;0,9412;0,9118;0,9118
Xception+ResNet50_n_feat_PCA_100_RandomForest;Xception+ResNet50_n_feat;PCA;100;RandomForest;0,8571;0,8857;0,8529;0,7941;0,9412;0,9412;0,7647;0,9412;0,9412;0,8824
Xception+ResNet50_n_feat_PCA_100_Adaboost;Xception+ResNet50_n_feat;PCA;100;Adaboost;0,8;0,8;0,8529;0,8529;0,8529;0,9706;0,7941;0,9706;0,8824;0,9706
Xception+ResNet50_n_feat_PCA_100_Gaussian;Xception+ResNet50_n_feat;PCA;100;Gaussian;0,7429;0,7143;0,7353;0,6471;0,7647;0,7647;0,8235;0,8529;0,8235;0,6765
Xception+ResNet50_n_feat_UMAP_100_J48;Xception+ResNet50_n_feat;UMAP;100;J48;0,8;0,6857;0,8529;0,8529;0,8529;0,7647;0,7647;0,8235;0,9118;0,8235
Xception+ResNet50_n_feat_UMAP_100_RBF;Xception+ResNet50_n_feat;UMAP;100;RBF;0,5714;0,6571;0,7353;0,7941;0,6765;0,7647;0,7059;0,6765;0,7647;0,7941
Xception+ResNet50_n_feat_UMAP_100_LinearSVM;Xception+ResNet50_n_feat;UMAP;100;LinearSVM;0,7143;0,7714;0,7647;0,8235;0,8235;0,8529;0,7941;0,7647;0,8235;0,8235
Xception+ResNet50_n_feat_UMAP_100_MLP;Xception+ResNet50_n_feat;UMAP;100;MLP;0,6857;0,8286;0,7353;0,8235;0,7941;0,7353;0,6765;0,7647;0,7941;0,8235
Xception+ResNet50_n_feat_UMAP_100_Logistic;Xception+ResNet50_n_feat;UMAP;100;Logistic;0,7143;0,7714;0,7941;0,8529;0,7941;0,8529;0,8235;0,8824;0,8235;0,7941
Xception+ResNet50_n_feat_UMAP_100_RandomForest;Xception+ResNet50_n_feat;UMAP;100;RandomForest;0,8286;0,8571;0,8824;0,8235;0,8529;0,8824;0,8235;0,8529;0,8235;0,9412
Xception+ResNet50_n_feat_UMAP_100_Adaboost;Xception+ResNet50_n_feat;UMAP;100;Adaboost;0,8286;0,9143;0,8824;0,7941;0,9118;0,9412;0,9118;0,7647;0,7059;0,8824
Xception+ResNet50_n_feat_UMAP_100_Gaussian;Xception+ResNet50_n_feat;UMAP;100;Gaussian;0,6857;0,8;0,7353;0,8235;0,7647;0,7647;0,6765;0,7941;0,8529;0,8529
VGG16+VGG19_n_feat_PCA_100_J48;VGG16+VGG19_n_feat;PCA;100;J48;0,6571;0,7143;0,8235;0,6765;0,8235;0,7647;0,6471;0,8235;0,7941;0,6765
VGG16+VGG19_n_feat_PCA_100_RBF;VGG16+VGG19_n_feat;PCA;100;RBF;0,8286;0,8571;0,9118;0,7941;0,8824;0,9118;0,9118;0,8529;0,9118;0,9412
VGG16+VGG19_n_feat_PCA_100_LinearSVM;VGG16+VGG19_n_feat;PCA;100;LinearSVM;0,8286;0,8571;0,9412;0,8235;0,8529;0,8529;0,8824;0,8529;0,9118;0,9412
VGG16+VGG19_n_feat_PCA_100_MLP;VGG16+VGG19_n_feat;PCA;100;MLP;0,6571;0,8571;0,8529;0,8235;0,8529;0,9118;0,7647;0,8824;0,9118;0,9412
VGG16+VGG19_n_feat_PCA_100_Logistic;VGG16+VGG19_n_feat;PCA;100;Logistic;0,8571;0,8571;0,9118;0,8824;0,8529;0,8529;0,8235;0,8824;0,9118;0,9706
VGG16+VGG19_n_feat_PCA_100_RandomForest;VGG16+VGG19_n_feat;PCA;100;RandomForest;0,6571;0,7714;0,9118;0,8235;0,8824;0,8529;0,7941;0,8824;0,9412;0,8824
VGG16+VGG19_n_feat_PCA_100_Adaboost;VGG16+VGG19_n_feat;PCA;100;Adaboost;0,6571;0,7714;0,8824;0,7941;0,8529;0,8529;0,7059;0,7647;0,7647;0,8824
VGG16+VGG19_n_feat_PCA_100_Gaussian;VGG16+VGG19_n_feat;PCA;100;Gaussian;0,6;0,5143;0,6471;0,6471;0,6176;0,7353;0,7647;0,7353;0,7941;0,5882
VGG16+VGG19_n_feat_UMAP_100_J48;VGG16+VGG19_n_feat;UMAP;100;J48;0,6286;0,6;0,7647;0,7647;0,7059;0,6471;0,5882;0,6176;0,7941;0,6471
VGG16+VGG19_n_feat_UMAP_100_RBF;VGG16+VGG19_n_feat;UMAP;100;RBF;0,4286;0,3429;0,5;0,5882;0,5;0,5294;0,5;0,5294;0,4706;0,5588
VGG16+VGG19_n_feat_UMAP_100_LinearSVM;VGG16+VGG19_n_feat;UMAP;100;LinearSVM;0,6286;0,6286;0,7353;0,6765;0,7353;0,7941;0,6176;0,7353;0,6471;0,7059
VGG16+VGG19_n_feat_UMAP_100_MLP;VGG16+VGG19_n_feat;UMAP;100;MLP;0,4286;0,4857;0,5882;0,6765;0,6765;0,6765;0,5294;0,6765;0,6176;0,6471
VGG16+VGG19_n_feat_UMAP_100_Logistic;VGG16+VGG19_n_feat;UMAP;100;Logistic;0,7429;0,7143;0,7353;0,7353;0,7059;0,7941;0,6471;0,7941;0,7941;0,6765
VGG16+VGG19_n_feat_UMAP_100_RandomForest;VGG16+VGG19_n_feat;UMAP;100;RandomForest;0,7429;0,8286;0,8529;0,7647;0,7647;0,7353;0,7059;0,7647;0,8529;0,7941
VGG16+VGG19_n_feat_UMAP_100_Adaboost;VGG16+VGG19_n_feat;UMAP;100;Adaboost;0,8;0,6571;0,7647;0,6765;0,7941;0,6176;0,6176;0,7059;0,6765;0,7059
VGG16+VGG19_n_feat_UMAP_100_Gaussian;VGG16+VGG19_n_feat;UMAP;100;Gaussian;0,8;0,8286;0,7353;0,7059;0,7059;0,6765;0,6176;0,7059;0,7353;0,7353
MobileNet+ResNet101_n_feat_PCA_50_J48;MobileNet+ResNet101_n_feat;PCA;50;J48;0,6857;0,8286;0,8529;0,7353;0,8824;0,7941;0,7353;0,8235;0,8529;0,7647
MobileNet+ResNet101_n_feat_PCA_50_RBF;MobileNet+ResNet101_n_feat;PCA;50;RBF;0,8;0,9143;0,9118;0,8235;0,9412;0,9118;0,9412;0,9412;0,9118;0,9706
MobileNet+ResNet101_n_feat_PCA_50_LinearSVM;MobileNet+ResNet101_n_feat;PCA;50;LinearSVM;0,6857;0,8286;0,8824;0,8235;0,9118;0,8235;0,9412;0,8529;0,8824;0,8529
MobileNet+ResNet101_n_feat_PCA_50_MLP;MobileNet+ResNet101_n_feat;PCA;50;MLP;0,7429;0,8857;0,8529;0,7647;0,9412;0,8529;0,8824;0,9118;0,8824;0,8824
MobileNet+ResNet101_n_feat_PCA_50_Logistic;MobileNet+ResNet101_n_feat;PCA;50;Logistic;0,6857;0,8571;0,8824;0,7941;0,8824;0,7941;0,9118;0,8824;0,8824;0,8824
MobileNet+ResNet101_n_feat_PCA_50_RandomForest;MobileNet+ResNet101_n_feat;PCA;50;RandomForest;0,8;0,9143;0,9118;0,8235;0,8824;0,9412;0,9706;0,9412;0,8824;1
MobileNet+ResNet101_n_feat_PCA_50_Adaboost;MobileNet+ResNet101_n_feat;PCA;50;Adaboost;0,7143;0,8857;0,9412;0,8529;0,9412;0,7941;0,8529;0,8824;0,8235;0,9118
MobileNet+ResNet101_n_feat_PCA_50_Gaussian;MobileNet+ResNet101_n_feat;PCA;50;Gaussian;0,7429;0,8286;0,9118;0,6765;0,7941;0,8824;0,7647;0,9118;0,9412;0,9412
MobileNet+ResNet101_n_feat_UMAP_50_J48;MobileNet+ResNet101_n_feat;UMAP;50;J48;0,8;0,8286;0,8235;0,6765;0,6765;0,8235;0,7353;0,7941;0,7647;0,7647
MobileNet+ResNet101_n_feat_UMAP_50_RBF;MobileNet+ResNet101_n_feat;UMAP;50;RBF;0,5714;0,4571;0,6176;0,7353;0,7353;0,7353;0,7353;0,7353;0,7647;0,7941
MobileNet+ResNet101_n_feat_UMAP_50_LinearSVM;MobileNet+ResNet101_n_feat;UMAP;50;LinearSVM;0,7429;0,8;0,7647;0,7941;0,7647;0,8235;0,7059;0,8529;0,7941;0,8824
MobileNet+ResNet101_n_feat_UMAP_50_MLP;MobileNet+ResNet101_n_feat;UMAP;50;MLP;0,7143;0,8;0,7353;0,7353;0,7059;0,8235;0,6765;0,7647;0,7647;0,8824
MobileNet+ResNet101_n_feat_UMAP_50_Logistic;MobileNet+ResNet101_n_feat;UMAP;50;Logistic;0,8571;0,8571;0,7941;0,7941;0,7647;0,8529;0,7647;0,8529;0,8529;0,8529
